amount,asset_description,asset_type,comment,disclosure_date,owner,ptr_link,senator,ticker,transaction_date,type
"$50,001 - $100,000",SPDR S&amp;P 500 ETF,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",SPY,12/31/2018,Sale (Full)
"$50,001 - $100,000",SPDR S&amp;P 500 ETF,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",SPY,12/31/2018,Sale (Partial)
"$1,001 - $15,000",Caesars Entertainment Corporation,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",CZR,12/31/2018,Purchase
"$100,001 - $250,000",Axalta Coating Systems Ltd.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",AXTA,12/27/2018,Purchase
"$250,001 - $500,000",SPDR S&amp;P 500 ETF,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",SPY,12/27/2018,Sale (Partial)
"$100,001 - $250,000",Hanesbrands Inc.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",HBI,12/27/2018,Purchase
"$50,001 - $100,000",Devon Energy Corporation,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",DVN,12/27/2018,Purchase
"$100,001 - $250,000",First Data Corporation,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",FDC,12/27/2018,Purchase
"$1,001 - $15,000","BWX Technologies, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",BWXT,12/27/2018,Purchase
"$250,001 - $500,000","MILTON GA GO <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 04/01/2024</div>",Municipal Security,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",--,12/27/2018,Purchase
"$250,001 - $500,000","HENRY CNTY GA SCH DIST DB <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 08/01/2025</div>",Municipal Security,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",--,12/26/2018,Purchase
"$1,001 - $15,000","Arcosa, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",ACA,12/24/2018,Purchase
"$1,001 - $15,000","BWX Technologies, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",BWXT,12/24/2018,Purchase
"$1,001 - $15,000",Lions Gate Entertainment Corp.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",LGF-B,12/24/2018,Purchase
"$1,001 - $15,000","Arcosa, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",ACA,12/21/2018,Purchase
"$1,001 - $15,000",Regions Financial Corporation,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",RF,12/21/2018,Purchase
"$1,001 - $15,000","BWX Technologies, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",BWXT,12/21/2018,Purchase
"$1,001 - $15,000",Lions Gate Entertainment Corp.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",LGF-B,12/21/2018,Purchase
"$1,001 - $15,000","Plains GP Holdings, L.P.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",PAGP,12/21/2018,Purchase
"$1,001 - $15,000",The Procter &amp; Gamble Company,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",PG,12/20/2018,Sale (Partial)
"$1,001 - $15,000",Graphic Packaging Holding Company,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",GPK,12/20/2018,Purchase
"$250,001 - $500,000","COLUMBIA CNTY GA GO <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 01/01/2025</div>",Municipal Security,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",--,12/20/2018,Purchase
"$1,001 - $15,000",Lions Gate Entertainment Corp.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",LGF-B,12/20/2018,Purchase
"$1,001 - $15,000",Valero Energy Partners LP,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",VLP,12/20/2018,Sale (Full)
"$15,001 - $50,000",Schlumberger Limited,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",SLB,12/20/2018,Sale (Full)
"$1,001 - $15,000",State Street Corporation,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",STT,12/20/2018,Purchase
"$1,001 - $15,000","Arcosa, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",ACA,12/20/2018,Purchase
"$250,001 - $500,000","CHICAGO ILLINOIS SALES TAX REF REV <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 01/01/2041</div>",Municipal Security,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",--,12/20/2018,Purchase
"$1,001 - $15,000","BWX Technologies, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",BWXT,12/20/2018,Purchase
"$1,001 - $15,000",Energy Transfer LP,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",ET,12/19/2018,Purchase
"$1,001 - $15,000",Lions Gate Entertainment Corp.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",LGF-B,12/19/2018,Purchase
"$1,001 - $15,000","BWX Technologies, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",BWXT,12/19/2018,Purchase
"$1,001 - $15,000","Micron Technology, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",MU,12/19/2018,Purchase
"$1,001 - $15,000",Knowles Corporation,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",KN,12/18/2018,Sale (Partial)
"$1,001 - $15,000",Valero Energy Partners LP,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",VLP,12/18/2018,Sale (Partial)
"$1,001 - $15,000",Lions Gate Entertainment Corp.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",LGF-B,12/17/2018,Purchase
"$1,001 - $15,000","BWX Technologies, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",BWXT,12/17/2018,Purchase
"$1,001 - $15,000",Lions Gate Entertainment Corp.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",LGF-B,12/14/2018,Purchase
"$1,001 - $15,000",Suncor Energy Inc.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",SU,12/14/2018,Purchase
"$1,001 - $15,000",Schlumberger Limited,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",SLB,12/14/2018,Sale (Partial)
"$15,001 - $50,000","United Parcel Service, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",UPS,12/14/2018,Sale (Full)
"$1,001 - $15,000","BWX Technologies, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",BWXT,12/13/2018,Purchase
"$50,001 - $100,000","United Parcel Service, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",UPS,12/13/2018,Sale (Partial)
"$1,001 - $15,000","WPX Energy, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",WPX,12/13/2018,Purchase
"$1,001 - $15,000",Knowles Corporation,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",KN,12/13/2018,Sale (Partial)
"$1,001 - $15,000",The Mosaic Company,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",MOS,12/13/2018,Sale (Partial)
"$1,001 - $15,000",Lions Gate Entertainment Corp.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",LGF-B,12/12/2018,Purchase
"$1,001 - $15,000",Corning Incorporated,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",GLW,12/12/2018,Sale (Partial)
"$1,001 - $15,000","United Parcel Service, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",UPS,12/12/2018,Sale (Partial)
"$1,001 - $15,000",Regions Financial Corporation,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",RF,12/12/2018,Purchase
"$15,001 - $50,000","United Parcel Service, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",UPS,12/12/2018,Sale (Partial)
"$15,001 - $50,000",Corning Incorporated,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",GLW,12/12/2018,Sale (Partial)
"$1,001 - $15,000","BWX Technologies, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",BWXT,12/11/2018,Purchase
"$1,001 - $15,000",Corning Incorporated,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",GLW,12/11/2018,Sale (Partial)
"$1,001 - $15,000",Lions Gate Entertainment Corp.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",LGF-B,12/11/2018,Purchase
"$250,001 - $500,000","METROPOLITAN ATLANTA RAPID REV <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/28</div>",Municipal Security,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",--,12/11/2018,Purchase
"$1,001 - $15,000",Lions Gate Entertainment Corp.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",LGF-B,12/10/2018,Purchase
"$1,001 - $15,000","BWX Technologies, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",BWXT,12/10/2018,Purchase
"$1,001 - $15,000",Lions Gate Entertainment Corp.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",LGF-B,12/07/2018,Purchase
"$1,001 - $15,000","BWX Technologies, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",BWXT,12/07/2018,Purchase
"$1,001 - $15,000","BWX Technologies, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",BWXT,12/07/2018,Purchase
"$15,001 - $50,000","BWX Technologies, Inc.",Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",BWXT,12/06/2018,Purchase
"$1,001 - $15,000",Lions Gate Entertainment Corp.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",LGF-B,12/06/2018,Purchase
"$1,001 - $15,000",Lions Gate Entertainment Corp.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",LGF-B,12/04/2018,Purchase
"$1,001 - $15,000",Lions Gate Entertainment Corp.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",LGF-B,12/04/2018,Purchase
"$1,001 - $15,000",Lions Gate Entertainment Corp.,Stock,--,01/09/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/a45de035-bfe8-4ddd-adf8-873ab27f50db/,"David A Perdue , Jr",LGF-B,12/03/2018,Purchase
"$1,001 - $15,000","Nexamp, Inc. <div class=""text-muted""> <em>Company:</em> Nexamp, Inc. &nbsp;(Andover, MA) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Clean Technology</div>",Other Securities,"MGE, LLC - underlying asset of Point Judith Fund III LP. LDC Blind Trust has 26% interest",01/09/2019,Spouse,https://efdsearch.senate.gov/search/view/ptr/99fb1227-b74e-4351-ad16-a53e1a12d76d/,Mark R Warner,--,12/24/2018,Sale (Full)
"$1,001 - $15,000","Nexamp, Inc. <div class=""text-muted""> <em>Company:</em> Nexamp, Inc. &nbsp;(North Andover, MA) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Clean Technology</div>",Other Securities,"MGE, LLC - underlying asset of Point Judith Fund III LP. MRW Blind Trust has 26% interest",01/09/2019,Self,https://efdsearch.senate.gov/search/view/ptr/99fb1227-b74e-4351-ad16-a53e1a12d76d/,Mark R Warner,--,12/24/2018,Sale (Full)
"$250,001 - $500,000","RideCharge, Inc. <div class=""text-muted""> <em>Company:</em> RideCharge, Inc. &nbsp;(Alexandria, VA) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Software Company</div>",Non-Public Stock,Underlying asset of Alexandria RC Investors LLC,01/09/2019,Self,https://efdsearch.senate.gov/search/view/ptr/99fb1227-b74e-4351-ad16-a53e1a12d76d/,Mark R Warner,--,12/19/2018,Sale (Full)
"$50,001 - $100,000","Norweigan Crystal AS <div class=""text-muted""> <em>Company:</em> Norweigan Crystal AS &nbsp;(Oslo, Norway) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Private Equity - Manufacturing of solar panels</div>",Other Securities,Underlying asset of Novus Special Situations LLC,01/09/2019,Self,https://efdsearch.senate.gov/search/view/ptr/99fb1227-b74e-4351-ad16-a53e1a12d76d/,Mark R Warner,--,12/07/2018,Purchase
"$15,001 - $50,000",Linde plc,Stock,--,01/08/2019,Spouse,https://efdsearch.senate.gov/search/view/ptr/bb3e64d2-1a93-46ac-ac1d-47508fbb199f/,Susan M Collins,LIN,12/21/2018,Sale (Full)
"$1,001 - $15,000","Facebook, Inc.",Stock,--,01/08/2019,Spouse,https://efdsearch.senate.gov/search/view/ptr/bb3e64d2-1a93-46ac-ac1d-47508fbb199f/,Susan M Collins,FB,12/21/2018,Sale (Full)
"$1,001 - $15,000",Exxon Mobil Corporation,Stock,--,01/08/2019,Spouse,https://efdsearch.senate.gov/search/view/ptr/bb3e64d2-1a93-46ac-ac1d-47508fbb199f/,Susan M Collins,XOM,12/21/2018,Sale (Full)
"$15,001 - $50,000",Enbridge Inc.,Stock,--,01/08/2019,Spouse,https://efdsearch.senate.gov/search/view/ptr/bb3e64d2-1a93-46ac-ac1d-47508fbb199f/,Susan M Collins,ENB,12/21/2018,Sale (Full)
"$1,001 - $15,000","Cullen/Frost Bankers, Inc.",Stock,--,01/08/2019,Spouse,https://efdsearch.senate.gov/search/view/ptr/bb3e64d2-1a93-46ac-ac1d-47508fbb199f/,Susan M Collins,CFR,12/21/2018,Sale (Full)
"$15,001 - $50,000","Constellation Brands, Inc.",Stock,--,01/08/2019,Spouse,https://efdsearch.senate.gov/search/view/ptr/bb3e64d2-1a93-46ac-ac1d-47508fbb199f/,Susan M Collins,STZ,12/21/2018,Sale (Full)
"$15,001 - $50,000","NextEra Energy, Inc.",Stock,--,01/08/2019,Spouse,https://efdsearch.senate.gov/search/view/ptr/bb3e64d2-1a93-46ac-ac1d-47508fbb199f/,Susan M Collins,NEE,12/21/2018,Purchase
"$15,001 - $50,000","Bank of America <div class=""text-muted""><em>Rate/Coupon:</em> 3.0%<br> <em>Matures:</em> 06/21/2019</div>",Corporate Bond,--,01/03/2019,Spouse,https://efdsearch.senate.gov/search/view/ptr/deb8df2a-b8ef-4f02-ae44-1f3b7168ccc2/,Thomas R Carper,--,12/19/2018,Purchase
"$15,001 - $50,000","Bank of America <div class=""text-muted""><em>Rate/Coupon:</em> 3.0%<br> <em>Matures:</em> 06/21/2019</div>",Corporate Bond,--,01/03/2019,Spouse,https://efdsearch.senate.gov/search/view/ptr/deb8df2a-b8ef-4f02-ae44-1f3b7168ccc2/,Thomas R Carper,--,12/19/2018,Purchase
"$1,001 - $15,000",Invesco Pacific Growth A,Other Securities,--,01/03/2019,Spouse,https://efdsearch.senate.gov/search/view/ptr/deb8df2a-b8ef-4f02-ae44-1f3b7168ccc2/,Thomas R Carper,--,12/17/2018,Purchase
"$15,001 - $50,000","Goldman Sachs <div class=""text-muted""><em>Rate/Coupon:</em> 4.5%<br> <em>Matures:</em> 12/15/2018</div>",Corporate Bond,--,01/03/2019,Spouse,https://efdsearch.senate.gov/search/view/ptr/deb8df2a-b8ef-4f02-ae44-1f3b7168ccc2/,Thomas R Carper,--,12/17/2018,Sale (Full)
"$1,001 - $15,000",Compass Materials,Stock,--,01/03/2019,Spouse,https://efdsearch.senate.gov/search/view/ptr/deb8df2a-b8ef-4f02-ae44-1f3b7168ccc2/,Thomas R Carper,--,12/10/2018,Sale (Full)
"$1,001 - $15,000",American Funds Growth Fund of Amer F1,Other Securities,--,01/03/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/3a6112bd-ea39-47b0-ab72-5e30a8e1d9c4/,Daniel S Sullivan,GFAFX,12/21/2018,Purchase
"$1,001 - $15,000",BlackRock Global Allocation Instl,Other Securities,--,01/03/2019,Joint,https://efdsearch.senate.gov/search/view/ptr/3a6112bd-ea39-47b0-ab72-5e30a8e1d9c4/,Daniel S Sullivan,MALOX,12/19/2018,Purchase
"$15,001 - $50,000","Fitz Frames, Inc. <div class=""text-muted""> <em>Company:</em> Fitz Frames, Inc. &nbsp;(Santa Monica, CA) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Custom eyeglass wear</div>",Non-Public Stock,--,01/03/2019,Spouse,https://efdsearch.senate.gov/search/view/ptr/8361b3a4-562e-4862-9faa-e7e8f2a728ef/,Ron L Wyden,--,11/24/2018,Purchase
"$1,001 - $15,000","NEXTERA ENERGY CAPITAL 03.550% 050127 DTD042817 <div class=""text-muted""><em>Rate/Coupon:</em> 03.550%<br> <em>Matures:</em> 05/01/27</div>",Corporate Bond,--,12/30/2018,Self,https://efdsearch.senate.gov/search/view/ptr/5dad514c-3858-42b4-a0a6-42fac20f2238/,Gary C Peters,--,11/16/2018,Purchase
"$1,001 - $15,000",Ford Motor Company,Stock,--,12/21/2018,Joint,https://efdsearch.senate.gov/search/view/ptr/42c3e250-98cf-4607-b102-1d53e2d68114/,Sheldon Whitehouse,F,11/19/2018,Sale (Partial)
"$1,001 - $15,000",The Kraft Heinz Company,Stock,--,12/21/2018,Joint,https://efdsearch.senate.gov/search/view/ptr/42c3e250-98cf-4607-b102-1d53e2d68114/,Sheldon Whitehouse,KHC,11/19/2018,Sale (Full)
"$1,001 - $15,000",International Business Machines Corporation,Stock,--,12/21/2018,Joint,https://efdsearch.senate.gov/search/view/ptr/42c3e250-98cf-4607-b102-1d53e2d68114/,Sheldon Whitehouse,IBM,11/19/2018,Sale (Partial)
"$1,001 - $15,000",International Business Machines Corporation,Stock,--,12/21/2018,Self,https://efdsearch.senate.gov/search/view/ptr/42c3e250-98cf-4607-b102-1d53e2d68114/,Sheldon Whitehouse,IBM,11/19/2018,Sale (Partial)
"$15,001 - $50,000",Aetna Inc. (Exchanged) <br> CVS Health Corporation (Received),Stock,--,12/21/2018,Self,https://efdsearch.senate.gov/search/view/ptr/42c3e250-98cf-4607-b102-1d53e2d68114/,Sheldon Whitehouse,AET,11/29/2018,Exchange
Unknown,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,,12/18/2018,N/A,https://efdsearch.senate.gov/search/view/paper/e24251ff-2099-453b-9578-470590cb971f/,Richard Blumenthal,N/A,12/18/2018,N/A
Unknown,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,,12/18/2018,N/A,https://efdsearch.senate.gov/search/view/paper/1278718c-4552-46f1-9b33-e7972215b1dd/,Dianne Feinstein,N/A,12/18/2018,N/A
"$1,001 - $15,000",Wells Fargo &amp; Company,Stock,Dividend Reinvestment,12/17/2018,Spouse,https://efdsearch.senate.gov/search/view/ptr/13374d99-cbb7-4f1c-a630-2125b6c108ab/,"A. Mitchell Mcconnell, Jr.",WFC,12/05/2018,Purchase
Unknown,This filing was disclosed via scanned PDF. Use link in ptr_link column to view the PDF.,PDF Disclosed Filing,,12/12/2018,N/A,https://efdsearch.senate.gov/search/view/paper/3e144655-b182-41f0-92ec-63388c3e62b7/,John Boozman,N/A,12/12/2018,N/A
"$50,001 - $100,000",Raytheon Company,Stock,--,12/12/2018,Self,https://efdsearch.senate.gov/search/view/ptr/3e10f881-18e4-4359-8f26-3f9620a103fd/,James M Inhofe,RTN,12/11/2018,Purchase
"$15,001 - $50,000",Celgene Corporation,Stock,--,12/12/2018,Self,https://efdsearch.senate.gov/search/view/ptr/3e10f881-18e4-4359-8f26-3f9620a103fd/,James M Inhofe,CELG,11/16/2018,Sale (Partial)
"$15,001 - $50,000",Aptiv PLC,Stock,--,12/12/2018,Self,https://efdsearch.senate.gov/search/view/ptr/3e10f881-18e4-4359-8f26-3f9620a103fd/,James M Inhofe,APTV,11/16/2018,Sale (Partial)
"$1,001 - $15,000","Hologic, Inc.",Stock,--,12/12/2018,Self,https://efdsearch.senate.gov/search/view/ptr/a8a92287-4029-427b-8566-9bd710d3fff1/,John F Reed,HOLX,11/28/2018,Purchase
"$1,001 - $15,000",Allergan plc,Stock,--,12/12/2018,Self,https://efdsearch.senate.gov/search/view/ptr/a8a92287-4029-427b-8566-9bd710d3fff1/,John F Reed,AGN,11/28/2018,Sale (Full)
"$1,001 - $15,000","Linde plc (Exchanged) <br> Praxair, Inc. (Received)",Stock,"Praxair, Inc. exchanged for Linde PLC (received) 10/31/18",12/08/2018,Spouse,https://efdsearch.senate.gov/search/view/ptr/b34c6735-9a2f-427d-811b-f4cbeff9e676/,Shelley M Capito,LIN,10/31/2018,Exchange
"$1,001 - $15,000",Apple Inc.,Stock,--,12/08/2018,Spouse,https://efdsearch.senate.gov/search/view/ptr/2969d359-4901-4bd8-a92d-74fbf37573e6/,Shelley M Capito,--,11/29/2018,Purchase
"$1,001 - $15,000",QUALCOMM Incorporated,Stock,--,12/08/2018,Spouse,https://efdsearch.senate.gov/search/view/ptr/2969d359-4901-4bd8-a92d-74fbf37573e6/,Shelley M Capito,QCOM,11/29/2018,Sale (Full)
"$1,001 - $15,000",International Business Machines Corporation,Stock,--,12/08/2018,Spouse,https://efdsearch.senate.gov/search/view/ptr/2969d359-4901-4bd8-a92d-74fbf37573e6/,Shelley M Capito,IBM,11/29/2018,Sale (Full)
"$1,001 - $15,000",Incyte Corporation,Stock,--,12/08/2018,Spouse,https://efdsearch.senate.gov/search/view/ptr/2969d359-4901-4bd8-a92d-74fbf37573e6/,Shelley M Capito,INCY,11/12/2018,Sale (Full)
"$1,001 - $15,000","Shin-Etsu Chemical Co., Ltd.",Stock,--,12/08/2018,Spouse,https://efdsearch.senate.gov/search/view/ptr/2969d359-4901-4bd8-a92d-74fbf37573e6/,Shelley M Capito,SHECY,11/13/2018,Sale (Full)
